Department,Department Name,Property Id,Property Name,Year Ending,Address 1,City,State/Province,Postal Code,Property GFA - EPA Calculated (Buildings) (ft²),Primary Property Type - Self Selected,Year Built,Electricity Use  Generated from Onsite Renewable Systems and Used Onsite (kWh),Electricity Use - Grid Purchase (kWh),Natural Gas Use (therms),Propane Use (kBtu),Water Use (All Water Sources) (kgal),Percent of Electricity that is Green Power,Green Power - Onsite and Offsite (kWh),Site Energy Use (kBtu),ENERGY STAR Score,LEED Certified,Location
ARB,Air Resources Board,3967232,Haagen-Smit Laboratory,12/31/2014,9528 Telstar Ave,El Monte,California,91731,53797,Laboratory,1971,,1864371.9,11978.39749,,354.1,0%,0,7559077.4,,,"9528 Telstar Ave
El Monte, California 91731
(34.068836, -118.061805)"
CAAM,California African American Museum,4318183,CA African American Museum: 600 State Drive,12/31/2014,600 State Drive,Los Angeles,California,90037,45000,Other - Services,1980,,826639.9,3306.260305,,,0%,0,3151121.7,,,"600 State Drive
Los Angeles, California 90037
(34.016508, -118.284312)"
CADA,Capitol Area Development Authority,1259182,1212-14 P STREET,12/31/2014,1212-14 P STREET,SACRAMENTO,California,95814,7000,Multifamily Housing,1936,,543,,,,0%,0,,,,"1212-14 P STREET
SACRAMENTO, California 95814
"
CADA,Capitol Area Development Authority,1259186,1510 O ST DON CARLOS APARTMENTS,12/31/2014,1510 O STREET,SACRAMENTO,California,95814,4000,Multifamily Housing,1936,,,847.215068,,,,,,,,"1510 O STREET
SACRAMENTO, California 95814
(38.572901, -121.488816)"
CADA,Capitol Area Development Authority,1259248,1325 15TH  ST PARK MANSION APARTMENT COMPLEX,12/31/2014,1325 15TH STREET,SACRAMENTO,California,95814,37000,Multifamily Housing,1928,,135157,,,,0%,0,,,,"1325 15TH STREET
SACRAMENTO, California 95814
(38.574323, -121.488353)"
CADA,Capitol Area Development Authority,1259196,1501 15TH ST DAUGER MANOR,12/31/2014,1501 15TH STREET,SACRAMENTO,California,95814,14100,Multifamily Housing,1938,,7323,,,,0%,0,,,,"1501 15TH STREET
SACRAMENTO, California 95814
(38.572621, -121.489085)"
CADA,Capitol Area Development Authority,1259262,1327 O ST CAPRI APARTMENT COMPLEX,12/31/2014,1327 O STREET,SACRAMENTO,California,95814,5200,Multifamily Housing,1954,,2892,,,,0%,0,,,,"1327 O STREET
SACRAMENTO, California 95814
(38.57338, -121.490631)"
CADA,Capitol Area Development Authority,1259190,1320 N ST SENATOR MANOR APARTMENT COMPLEX,12/31/2014,1320 N STREET,SACRAMENTO,California,95814,16300,Multifamily Housing,1935,,12171,,,,0%,0,,,,"1320 N STREET
SACRAMENTO, California 95814
(38.574507, -121.490295)"
CADA,Capitol Area Development Authority,1259242,1421 15TH ST BIELE PLACE,12/31/2014,1421 15TH STREET,SACRAMENTO,California,95814,24700,Multifamily Housing,1984,,12631,,,,0%,0,,,,"1421 15TH STREET
SACRAMENTO, California 95814
(38.573347, -121.488773)"
CADA,Capitol Area Development Authority,1259268,1330 P ST PALM MANSION,12/31/2014,1330 P STREET,SACRAMENTO,California,95814,15600,Multifamily Housing,1890,,899,,,,0%,0,,,,"1330 P STREET
SACRAMENTO, California 95814
(38.572246, -121.490944)"
CADA,Capitol Area Development Authority,1259232,1601 16th ST ROOMING HOUSE APARTMENT COMPLEX 16TH STREET,12/31/2014,1601 16th STREET,SACRAMENTO,California,95814,10000,Multifamily Housing,1957,,,,,,,,,,,"1601 16th STREET
SACRAMENTO, California 95814
(38.571168, -121.488234)"
CADA,Capitol Area Development Authority,1259224,1400 N ST DEAN APARTMENTS,12/31/2014,1400 N STREET,SACRAMENTO,California,95814,22400,Multifamily Housing,1929,,22115,14482.33317,,,0%,0,1523689.7,,,"1400 N STREET
SACRAMENTO, California 95814
(38.574307, -121.489549)"
CADA,Capitol Area Development Authority,1259260,1500 N  ST BRANNON COURT,12/31/2014,1500 N STREET,SACRAMENTO,California,95814,30000,Multifamily Housing,1988,,70257,,,,0%,0,,,,"1500 N STREET
SACRAMENTO, California 95814
(38.573895, -121.487999)"
CADA,Capitol Area Development Authority,1259194,1216 P STREET,12/31/2014,1216 P STREET,SACRAMENTO,California,95814,3400,Multifamily Housing,1940,,2312,,,,0%,0,7888.5,,,"1216 P STREET
SACRAMENTO, California 95814
(38.572907, -121.493436)"
CADA,Capitol Area Development Authority,1259238,1317 O ST VALENCIA APARTMENTS,12/31/2014,1317 O STREET,SACRAMENTO,California,95814,7200,Multifamily Housing,1927,,58104,3944.227697,,,0%,0,592673.6,,,"1317 O STREET
SACRAMENTO, California 95814
(38.573452, -121.490892)"
CADA,Capitol Area Development Authority,1259226,1517 N ST CAPITOL GARDENS APARTMENT COMPLEX,12/31/2014,1517 N STREET,SACRAMENTO,California,95814,13500,Multifamily Housing,1939,,,,,,,,,,,"1517 N STREET
SACRAMENTO, California 95814
(38.573845, -121.487814)"
CADA,Capitol Area Development Authority,1259212,1521 12TH STREET APARTMENT COMPLEX,12/31/2014,1521 12TH STREET,SACRAMENTO,California,95814,3000,Multifamily Housing,1948,,1197,,,,0%,0,,,,"1521 12TH STREET
SACRAMENTO, California 95814
(38.573341, -121.493544)"
CADA,Capitol Area Development Authority,1259266,1326 P ST MI CASA,12/31/2014,1326 P STREET,SACRAMENTO,California,95814,15600,Multifamily Housing,1958,,5097,,,,0%,0,,,,"1326 P STREET
SACRAMENTO, California 95814
(38.57228, -121.491072)"
